Token,Tag
),Punct
.,Punct
Bueno,Spn
anygüey,Spn
",Punct
cierro,Spn
for,Eng
now,Eng
.,Punct
Estos,Spn
giant,Eng
porteño,Spn
mosquitos,Spn
are,Eng
trying,Eng
to,Eng
bite,Eng
my,Eng
hyper-sensitive,Eng
cuerpo,Spn
here,Eng
en,Spn
el,Spn
comedor,Spn
where,Eng
I,Eng
write,Eng
.,Punct
I,Eng
need,Eng
to,Eng
bail,Spn
",Punct
pa,Spn
’,Punct
arrimarme,Spn
to,Eng
this,Eng
fantastic,Eng
anti-mosquito,Spn
gel,Spn
thingie,Eng
que,Spn
tienen,Spn
en,Spn
Buenos,Spn
Aires,NamedEnt
(,Punct
como,Spn
esos,Spn
Glade,Eng
room,Eng
scenting,Eng
gels,Spn
",Punct
you,Eng
know,Eng
",Punct
pero,Spn
these,Eng
matan,Spn
mosquitos,Spn
!,Punct
),Punct
",Punct
that,Eng
you,Eng
just,Eng
plug,Eng
in,Eng
.,Punct
A,Spn
cualquier,Spn
enchufe,Spn
.,Punct
Pero,Spn
we,Eng
only,Eng
have,Eng
it,Eng
en,Spn
las,Spn
recámaras,Spn
por,Spn
las,Spn
noches,Spn
",Punct
capaz,Spn
sea,Spn
venenoso,Spn
.,Punct
.,Punct
.,Punct
Ha,Spn
oscurecido,Spn
;,Punct
no,Spn
tenemos,Spn
running,Eng
water,Eng
en,Spn
el,Spn
baño,Spn
.,Punct
Refrescó,Spn
algohoy,Spn
but,Eng
it’s,Eng
still,Eng
fundamentally,Eng
a,Spn
spongey,Eng
pantano,Spn
I’m,Spn
living,Eng
on,Eng
.,Punct
Buenas,NamedEnt
noches.X,Spn
Los,Spn
Angeles,Spn
Cuenca,Spn
Crónica,Spn
23,Spn
July,NamedEnt
2002,Spn
Los,Spn
Angeles,Spn
",Punct
Califas,Spn
For,Eng
Laura,NamedEnt
Chávez,NamedEnt
Silverman,NamedEnt
and,Eng
for,Eng
Howard,NamedEnt
T.,Spn
Young,Eng
Drove,Eng
to,Eng
the,Eng
Beverly,NamedEnt
Center,Eng
with,Eng
Pierre,NamedEnt
yesterday—slatedly,Eng
to,Eng
perceive,Eng
los,Spn
Fall,NamedEnt
sales,Spn
.,Punct
Pero,Spn
I,Eng
found,Eng
the,Eng
whole,Eng
thing,Eng
incredibly,Eng
pueblo,Spn
",Punct
almost,Eng
sordid,Spn
!,Punct
I,Eng
used,Eng
to,Eng
think,Eng
el,Spn
Beverly,NamedEnt
Center,Eng
was,Eng
quite,Eng
the,Eng
abeja’s,Spn
rodillas,Spn
",Punct
pero,Spn
me,Spn
pareció,Spn
extremely,Eng
DOWN,Eng
on,Eng
its,Eng
talones,Spn
.,Punct
I,Eng
will,Eng
NOT,Eng
be,Eng
returning,Eng
any,Eng
time,Eng
soon,Eng
!,Punct
Ugh,NamedEnt
!,Punct
The,Eng
“,Punct
Le,Spn
Sportsac,NamedEnt
”,Punct
shop,Eng
",Punct
whose,Eng
opening,Eng
I,Eng
had,Eng
been,Eng
eagerly,Eng
anticipating,Eng
(,Punct
ya,Spn
que,Spn
como,Spn
sabes,Spn
I’ve,Spn
adherido,Spn
incondicionalmente,Spn
a,Spn
los,Spn
Sportsac,NamedEnt
since,Eng
they,Eng
very,Eng
first,Eng
came,Eng
out,Eng
",Punct
creo,Spn
que,Spn
en,Spn
los,Spn
early,Eng
80s,Spn
),Punct
",Punct
failed,Eng
to,Eng
yield,Eng
anything,Eng
of,Eng
note,Eng
.,Punct
In,Eng
“,Punct
Macy’s,NamedEnt
Hombre,Spn
”,Punct
we,Eng
were,Eng
prácticamente,Spn
sprayed,Eng
against,Eng
our,Eng
will,Eng
by,Eng
several,Eng
over-the-top,Eng
feliz,Spn
sales,Spn
okes,Eng
",Punct
who,Eng
failed,Eng
to,Eng
perceive,Eng
that,Eng
I,Eng
know,Eng
what’s,Eng
whaten,Eng
cuanto,Spn
a,Spn
los,Spn
perfumes,Spn
.,Punct
There,Eng
is,Eng
actually,Eng
a,Spn
new,Eng
perfume,Spn
called,Eng
“,Punct
Sé,Spn
xu-al,Spn
”,Punct
(,Punct
spelled,Eng
like,Eng
that,Eng
",Punct
te,Spn
lo,Spn
juro,Spn
",Punct
with,Eng
accents,Eng
and,Eng
diacritic,Spn
marks,Eng
and,Eng
extra,Eng
spaces,Eng
all,Eng
over,Eng
the,Eng
show,Eng
),Punct
.,Punct
I,Eng
sprayed,Eng
it,Eng
on,Eng
a,Spn
little,Eng
card,Eng
and68,Spn
wrinkled,Eng
up,Eng
my,Eng
nose,Eng
at,Eng
its,Eng
acrid,Eng
",Punct
obvious,Eng
bouquet,Eng
.,Punct
“,Punct
Not,Eng
for,Eng
me,Spn
",Punct
not,Eng
for,Eng
me,Spn
",Punct
”,Punct
I,Eng
veritably,Eng
screeched,Eng
at,Eng
the,Eng
approach,Eng
of,Eng
a,Spn
slinkyhipped,Eng
",Punct
black,Eng
clad,Spn
spritzer,Eng
.,Punct
“,Punct
It’s,Eng
the,Eng
ONLY,Eng
perfume,Spn
made,Eng
today,Eng
that,Eng
contains,Eng
TWO,Eng
ACTUAL,Eng
aphrodisiacs,Eng
",Punct
”,Punct
he,Eng
crowed,Eng
triumphantly,Eng
.,Punct
“,Punct
I,Eng
said‘not,Eng
for,Eng
me,Spn
",Punct
’,Punct
”,Punct
I,Eng
whimpered,Eng
.,Punct
.,Punct
.,Punct
then,Eng
I,Eng
seized,Spn
upon,Eng
Thierry,NamedEnt
Mugler’s,NamedEnt
new,Eng
",Punct
eponymous,Eng
“,Punct
Cologne,NamedEnt
.,Punct
”,Punct
“,Punct
What’s,Eng
this,Eng
",Punct
”,Punct
I,Eng
asked,Eng
another,Eng
black-clad,Eng
experto,Spn
.,Punct
“,Punct
Oh,Eng
",Punct
that’shis,Eng
latest,Eng
",Punct
”,Punct
he,Eng
whispered,Eng
reverently,Eng
.,Punct
“,Punct
I,Eng
can,Eng
see,Eng
that,Eng
",Punct
I,Eng
meant,Eng
",Punct
what,Eng
is,Eng
IN,Eng
it,Eng
?,Punct
”,Punct
“,Punct
Well,Eng
",Punct
it’s,Eng
um,Eng
",Punct
kind,Eng
of,Eng
.,Punct
.,Punct
.,Punct
green,Eng
and,Eng
soapy,Eng
",Punct
”,Punct
he,Eng
ventured,Eng
.,Punct
By,Eng
this,Eng
time,Eng
",Punct
after,Eng
having,Eng
sprayed,Eng
it,Eng
on,Eng
a,Spn
card,Eng
and,Eng
finding,Eng
it,Eng
mildly,Eng
intrigante,Spn
",Punct
and,Eng
then,Eng
anointing,Eng
Pierre’s,NamedEnt
forearm,Eng
",Punct
I,Eng
quickly,Eng
pronounced,Eng
:,Punct
“,Punct
It’s,Eng
expensive,Eng
‘,Punct
head,Eng
perfume,Spn
",Punct
’,Punct
is,Eng
what,Eng
it,Eng
is,Eng
!,Punct
”,Punct
(,Punct
Así,Spn
bauticé,Spn
years,Eng
ago,Eng
",Punct
remember,Eng
",Punct
todas,Spn
esas,Spn
cheap,Eng
yet,Eng
oddly,Eng
scintillating,Eng
coloniasthey,Eng
use,Eng
in,Eng
Spain,NamedEnt
",Punct
everywhere,Eng
:,Punct
on,Eng
necks,Eng
",Punct
chests,Eng
",Punct
sobacos,Spn
",Punct
and,Eng
babies,Eng
’,Punct
heads,Eng
especially,Eng
",Punct
hence,Eng
my,Eng
apodo,Spn
.,Punct
),Punct
Of,Eng
course,Eng
",Punct
the,Eng
sprayer-okes,Eng
looked,Eng
at,Eng
me,Spn
as,Eng
if,Eng
I,Eng
were,Eng
insane,Eng
.,Punct
Sigh,NamedEnt
.,Punct
Sad,NamedEnt
",Punct
el,Spn
único,Spn
perfume,Spn
of,Eng
interest,Eng
",Punct
a,Spn
postmodern,Eng
reciclaje,Spn
of,Eng
that,Eng
“,Punct
Acqua,NamedEnt
di,Spn
Selva,Spn
”,Punct
we,Eng
used,Eng
to,Eng
get,Eng
in,Eng
Madrid,NamedEnt
farmacias,Spn
!,Punct
Or,Eng
",Punct
OK,Spn
",Punct
OK,Spn
",Punct
to,Eng
be,Eng
generous,Eng
",Punct
a,Spn
very,Eng
slightly,Eng
more,Eng
idiosyncratic,Eng
“,Punct
Acqua,NamedEnt
di,Spn
Parma,NamedEnt
.,Punct
”,Punct
Pero,Spn
in,Eng
any,Eng
case,Eng
",Punct
totallythe,Eng
opposite,Eng
of,Eng
Mugler’s,NamedEnt
chocolate-,Spn
and,Eng
patchouli-laden,Spn
",Punct
heavy,Eng
",Punct
erotic,Eng
“,Punct
Angel,NamedEnt
.,Punct
”,Punct
Maybe,Eng
that’s,Eng
precisely,Eng
his,Eng
point,Eng
con,Spn
este,Spn
“,Punct
Cologne,NamedEnt
”,Punct
?,Punct
Still,Eng
",Punct
I,Eng
am,Eng
numbed,Eng
",Punct
disappointed,Eng
.,Punct
It’s,Eng
nice,Eng
enough,Eng
",Punct
but,Eng
somehow,Eng
",Punct
too,Eng
benign,Spn
",Punct
casi,Spn
hasta,Spn
insípido,Spn
.,Punct
I’d,Spn
forgotten,Eng
completely,Eng
there,Eng
is,Eng
noNordstrom,Eng
at,Eng
the,Eng
Beverly,NamedEnt
Center,Eng
",Punct
so,Eng
entramos,Spn
a,Spn
Bloomingdale’s,NamedEnt
",Punct
only,Eng
to,Eng
abjectly,Eng
wander,Eng
about,Eng
",Punct
un,Spn
poco,Spn
demasiado,Spn
miope,Spn
without,Eng
my,Eng
glasses,Eng
",Punct
only,Eng
finding,Eng
",Punct
finally,Eng
",Punct
a,Spn
hugely,Eng
oversized,Eng
DKNY,NamedEnt
puffy,Eng
",Punct
quilted,Eng
black,Eng
hobo-type,Eng
bag,Eng
en,Spn
microfibra,Spn
",Punct
with,Eng
which,Eng
I,Eng
was,Eng
marginally,Eng
enchanted,Spn
hasta,Spn
que,Spn
Pierre,NamedEnt
proclamó,Spn
I,Eng
looked,Eng
exactly,Eng
like,Eng
I,Eng
was,Eng
holding,Eng
onto,Eng
a,Spn
hedgehog,Eng
!,Punct
Of,Eng
course,Eng
",Punct
para,Spn
entonces,Spn
(,Punct
after,Eng
semi-disastrous,Eng
try-on,Eng
sessions,Eng
at,Eng
“,Punct
Arden,NamedEnt
B”—shockingly,Eng
trendy,Eng
but,Eng
very,Eng
cheaply,Eng
constructed—“Macy’s,NamedEnt
Mujer,Spn
”,Punct
and,Eng
my,Eng
old,Eng
standby,Eng
",Punct
“,Punct
Express,Eng
”,Punct
),Punct
I,Eng
wasstrictlylooking,Eng
at,Eng
accessories,Eng
",Punct
since,Eng
I’ve,Spn
been,Eng
having,Eng
body,Eng
dysmorphic,Eng
moments,Eng
for,Eng
the,Eng
past,Eng
couple,Eng
of,Eng
days,Eng
(,Punct
pre-rule,Eng
),Punct
",Punct
feeling,Eng
irredeemably,Eng
enorme,Spn
",Punct
alien,Spn
",Punct
BLIMP,Eng
.,Punct
I,Eng
know,Eng
I’ve,Spn
at,Eng
least,Eng
hada,Spn
definite,Eng
moment,Eng
",Punct
a,Spn
couple,Eng
of,Eng
years,Eng
ago—OK,Eng
sort,Eng
of,Eng
on,Eng
and,Eng
off,Eng
toda,Spn
la,Spn
vida,Spn
",Punct
really,Eng
(,Punct
bueno,Spn
",Punct
since,Eng
I,Eng
grew,Eng
up,Eng
",Punct
es,Spn
decir,Spn
:,Punct
desde,Spn
que,Spn
dejé,Spn
de,Spn
huifear,Spn
coca,Spn
y,Spn
no,Spn
tener,Spn
auto,Spn
y,Spn
fumar,Spn
cigarrishos,Spn
y,Spn
caminar,Spn
everywhere,Eng
and,Eng
was,Eng
",Punct
then,Eng
",Punct
a,Spn
thrillingly,Eng
skeletal,Eng
size,Eng
5,Punct
y,Spn
hasta,Spn
a,Spn
veces,Spn
",Punct
un,Spn
size,Eng
3)—cuando,Spn
los,Spn
GAP,Eng
bootcut,Eng
jeans,Eng
size,Eng
8,Punct
Long,Eng
fit,Eng
quite,Eng
generously,Eng
on,Eng
me,Spn
(,Punct
and,Eng
I,Eng
could,Eng
even,Eng
wear,Eng
a,Spn
6,Punct
en,Spn
algunos,Spn
brands,Eng
:,Punct
ooh,Eng
",Punct
the,Eng
Holy,Eng
Grail,NamedEnt
of,Eng
the,Eng
size,Eng
6,Punct
!,Punct
!,Punct
),Punct
.,Punct
Pero,Spn
ayer,Spn
te,Spn
juro,Spn
que,Spn
the,Eng
8L,Spn
fit,Eng
just,Eng
.,Punct
.,Punct
.,Punct
FINE,NamedEnt
.,Punct
And,Eng
I,Eng
had,Eng
this,Eng
funhouse-espejo,Spn
feeling,Eng
of,Eng
utter,Eng
failure,Eng
and,Eng
“,Punct
normalcy,Eng
",Punct
”,Punct
of,Eng
being,Eng
after,Eng
all,Eng
a,Spn
TRUE,Eng
size,Eng
8,Punct
(,Punct
with,Eng
pillar-like,Spn
",Punct
espárragos,Spn
blancos,Spn
thighs,Eng
),Punct
",Punct
which,Eng
everyone,Eng
KNOWS,Eng
is,Eng
a,Spn
fucking,Spn
former,Eng
size,Eng
10,Spn
or,Eng
worse,Eng
(,Punct
since,Eng
los,Spn
designers,Eng
keep,Eng
making,Eng
sizes,Eng
smaller,Eng
and,Eng
smaller,Eng
",Punct
so,Eng
stars,Eng
like,Eng
Lara,NamedEnt
Flynn,NamedEnt
Boyle,NamedEnt
y,Spn
la,Spn
Jennifer,NamedEnt
Aniston,NamedEnt
",Punct
la,Spn
sosa,Spn
de,Spn
la,Spn
wife,Eng
del,Spn
sosísimo,Spn
Brad,NamedEnt
Pitt,NamedEnt
",Punct
can,Eng
inhabit,Eng
the,Eng
formerly,Eng
unheardof—and,Eng
in,Eng
fact,Eng
",Punct
literally,Eng
NON-existent—size,Eng
zero,Eng
",Punct
or,Eng
al,Spn
menos,Spn
a,Spn
2,Punct
!,Punct
!,Punct
!,Punct
),Punct
.,Punct
Pero,Spn
",Punct
dejemos,Spn
esa,Spn
dysmorphic,Eng
disquisition,Eng
.,Punct
Anygüey,Spn
",Punct
I,Eng
wanted,Eng
to,Eng
go,Eng
over,Eng
and,Eng
visit,Eng
you,Eng
since,Eng
we,Eng
weren’t,Eng
that,Eng
far,Eng
from,Eng
Rancho,NamedEnt
Park,Eng
",Punct
pero,Spn
ultimately,Eng
decided,Eng
it,Eng
was,Eng
too,Eng
hot,Eng
and,Eng
I,Eng
was,Eng
in,Eng
too,Eng
depressed,Eng
and,Eng
gumby,Eng
a,Spn
mood,Eng
",Punct
so,Eng
volvimos,Spn
a,Spn
casa,Spn
.,Punct
Please,Eng
forgive,Eng
this,Eng
little,Eng
fit,Eng
of,Eng
narcisismo,Spn
.,Punct
Usually,Eng
I,Eng
can,Eng
dissuade,Eng
myself,Eng
from,Eng
these,Eng
total,Spn
neurotic,Eng
excesses,Eng
by,Eng
focusing,Eng
on,Eng
something,Eng
I,Eng
DO,Eng
(,Punct
I,Eng
mean,Eng
sometimesI,Eng
can,Eng
),Punct
:,Punct
such,Eng
as,Eng
writing,Eng
.,Punct
Or,Eng
I,Eng
try,Eng
to,Eng
remember,Eng
edifying,Eng
",Punct
pro-mujer,Spn
statements,Eng
made,Eng
by,Eng
attractive,Eng
women,Eng
I,Eng
admire,Spn
",Punct
such,Eng
as,Eng
Lauren,NamedEnt
Hutton,NamedEnt
",Punct
Diane,NamedEnt
von,Spn
Furstenburg,NamedEnt
",Punct
even,Eng
Diane,NamedEnt
Lane,NamedEnt
",Punct
pero,Spn
this,Eng
strategy,Eng
flat,Eng
out,Eng
failed,Eng
me,Spn
yesterday,Eng
.,Punct
Ireally,NamedEnt
do,Eng
need,Eng
to,Eng
get,Eng
some,Eng
perspectiva,Spn
",Punct
though,Eng
.,Punct
I,Eng
mean,Eng
",Punct
porque,Spn
we,Eng
had,Eng
in,Eng
fact,Eng
narrowly,Eng
missed,Eng
a,Spn
road,Eng
rage-induced,Eng
flipover,Eng
accident,Eng
on,Eng
the,Eng
10,Spn
West,NamedEnt
.,Punct
Traffic,NamedEnt
slowed,Eng
to70,Spn
a,Spn
crawl,Eng
",Punct
weird,Eng
for,Eng
a,Spn
Sunday,Eng
",Punct
although,Eng
admittedly,Eng
growing,Eng
menos,Spn
weird,Eng
every,Eng
year,Eng
that,Eng
goes,Eng
by,Eng
in,Eng
this,Eng
Los,Spn
Angeles,Spn
cuenca,Spn
.,Punct
We,Eng
put,Eng
on,Eng
the,Eng
radio,Eng
and,Eng
heard,Eng
“,Punct
westbound,Eng
on,Eng
the,Eng
10,Spn
in,Eng
Covina,NamedEnt
",Punct
at,Eng
the,Eng
Azusa,NamedEnt
exit,Eng
.,Punct
.,Punct
.,Punct
”,Punct
and,Eng
I,Eng
looked,Eng
up,Eng
and,Eng
there,Eng
we,Eng
fucking,Spn
were,Eng
!,Punct
Right,Eng
there,Eng
en,Spn
la,Spn
salida,Spn
para,Spn
Azusa,NamedEnt
.,Punct
We,Eng
heard,Eng
“,Punct
suspect,Eng
seen,Eng
brandishing,Eng
a,Spn
weapon,Eng
",Punct
firing,Eng
upon,Eng
samaritans,Eng
who,Eng
arrived,Spn
at,Eng
the,Eng
scene,Eng
of,Eng
the,Eng
accident,Eng
.,Punct
.,Punct
.,Punct
”,Punct
y,Spn
la,Spn
gente,Spn
estaba,Spn
panicking,Eng
around,Eng
us,Eng
",Punct
allí,Spn
nomás,Spn
",Punct
cars,Eng
turning,Eng
left,Eng
and,Eng
right,Eng
",Punct
trapped,Eng
",Punct
swarming,Eng
illogically,Eng
",Punct
like,Eng
those,Eng
giant,Eng
red,Eng
and,Eng
black,Eng
fire,Eng
ants,Eng
we,Eng
used,Eng
to,Eng
turn,Eng
into,Eng
armies,Spn
and,Eng
make,Eng
fight,Eng
each,Eng
other,Eng
in,Eng
jars,Spn
en,Spn
Zapopan,NamedEnt
",Punct
remember,Eng
?,Punct
And,Eng
we,Eng
inched,Eng
toward,Eng
the,Eng
right,Eng
",Punct
para,Spn
salir,Spn
del,Spn
freeway,Eng
",Punct
pero,Spn
we,Eng
were,Eng
funneled,Eng
back,Eng
on,Eng
by,Eng
a,Spn
gull,Eng
of,Eng
waving,Eng
and,Eng
whistle-blowing,Eng
cops,Eng
.,Punct
And,Eng
there,Eng
were,Eng
flashing,Eng
lights,Eng
",Punct
sirenas,Spn
",Punct
ambulancias,Spn
",Punct
broken,Eng
glass,Eng
",Punct
looky-loos,Eng
clogging,Eng
up,Eng
the,Eng
10,Spn
E,Spn
on,Eng
the,Eng
other,Eng
side,Eng
y,Spn
una,Spn
camioneta,Spn
with,Eng
the,Eng
rear,Eng
window,Eng
shot,Eng
out,Eng
next,Eng
to,Eng
a,Spn
Saturn,NamedEnt
sedan,Spn
on,Eng
its,Eng
roof,Eng
",Punct
smashed,Eng
almost,Eng
flat,Eng
",Punct
not,Eng
18,Spn
inches,Eng
from,Eng
our,Eng
very,Eng
own,Eng
inching-forward,Eng
car,Eng
.,Punct
Camino,Spn
a,Spn
casa,Spn
",Punct
after,Eng
that,Eng
fruitless,Eng
and,Eng
designer,Eng
brand,Eng
head,Eng
perfume-tinged,Spn
vitrineo,Spn
",Punct
we,Eng
again,Eng
turned,Eng
the,Eng
radio,Eng
on,Eng
and,Eng
sure,Eng
enough,Eng
:,Punct
“,Punct
the,Eng
10,Spn
west,Eng
in,Eng
Covina,NamedEnt
at,Eng
the,Eng
Azusa,NamedEnt
exit’s,Spn
been,Eng
a,Spn
parking,Eng
lot,Eng
for,Eng
AT,Eng
LEAST,Eng
four,Eng
hours,Eng
",Punct
while,Eng
the,Eng
CHP,NamedEnt
searches,Eng
for,Eng
a,Spn
bullet,Eng
casing,Spn
.,Punct
The,Eng
suspect,Eng
has,Eng
been,Eng
apprehended,Eng
and,Eng
we’re,Spn
hoping,Eng
to,Eng
get,Eng
traffic,Eng
moving,Eng
soon,Eng
.,Punct
.,Punct
.,Punct
”,Punct
Can,Eng
hardly,Eng
believe,Eng
it’s,Eng
been,Eng
almost,Eng
a,Spn
year,Eng
that,Eng
we’ve,Spn
been,Eng
back,Eng
from,Eng
Buenos,Spn
Aires,NamedEnt
.,Punct
Welcome,NamedEnt
to,Eng
L.A.,NamedEnt
!,Punct
!,Punct
Anti-Suicidio,Spn
Crónica,Spn
9,Punct
de,Spn
mayo,Spn
2003,Spn
Los,Spn
Angeles,Spn
Para,NamedEnt
Paulina,NamedEnt
Vinderman,NamedEnt
",Punct
Happy,NamedEnt
Birthday,Eng
And,Eng
for,Eng
Etienne,NamedEnt
Joseph,NamedEnt
A,Spn
splash,Eng
",Punct
a,Spn
scattering,Eng
of,Eng
little,Eng
kids,Eng
along,Eng
Arrow,NamedEnt
Route,NamedEnt
",Punct
como,Spn
fat,Eng
bright,Eng
raindrops,Eng
en,Spn
este,Spn
too,Eng
densely,Eng
rain-threatening,Eng
para,Spn
southern,Eng
Califas,Spn
early,Eng
May,Eng
day,Eng
.,Punct
On,Eng
some,Eng
preschool,Eng
outing,Eng
",Punct
supongo,Spn
.,Punct
Como,Spn
expressionistic,Eng
paint,Eng
spatters,Eng
",Punct
con,Spn
los,Spn
teensy,Eng
",Punct
primary-colored,Eng
mochilitas,Spn
",Punct
T,Eng
shirts,Eng
y,Spn
miniature,Eng
",Punct
so,Eng
un-hip,Spn
(,Punct
hop,Eng
),Punct
",Punct
form-fitting,Eng
jeans,Eng
.,Punct
Me,Spn
recuerdan,Spn
(,Punct
me,Spn
hacen,Spn
acordar,Spn
",Punct
says,Eng
the,Eng
casi-automatic,Eng
piloto,Spn
‘,Punct
Tine,Spn
correction,Eng
encoded,Eng
in,Eng
my,Eng
memory,Eng
),Punct
de,Spn
ti,Spn
.,Punct
De,Spn
ti,Spn
",Punct
Joey,NamedEnt
",Punct
en,Spn
los,Spn
long-ago,Eng
days,Eng
cuando,Spn
yo,Spn
te,Spn
vestía,Spn
.,Punct
Cuando,Spn
te,Spn
elegía,Spn
la,Spn
ropa,Spn
e,Spn
incluso,Spn
no,Spn
te,Spn
gustaban,Spn
los,Spn
pants,Eng
",Punct
ni,Spn
hablar,Spn
los,Spn
stiff,Eng
",Punct
constraining,Eng
jeans,Eng
.,Punct
Usabas,Spn
sweat,Eng
pants,Eng
",Punct
y,Spn
hasta,Spn
esos,Spn
cute,Eng
",Punct
mail,Eng
order,Eng
Lycra,NamedEnt
stretch,Eng
bike,Eng
shorts,Eng
.,Punct
How,Eng
you’d,Spn
laugh,Eng
about,Eng
it,Eng
now,Eng
",Punct
seguro—tan,Spn
resolutely,Eng
uncomfortable,Eng
with,Eng
anything,Eng
even,Eng
remotely,Eng
unconventional—si,Eng
te,Spn
hiciera,Spn
mirar,Spn
las,Spn
fotos,Spn
of,Eng
when72,Eng
you,Eng
were,Eng
four,Eng
years,Eng
old,Eng
",Punct
ese,Spn
verano,Spn
en,Spn
España,NamedEnt
",Punct
remember,Eng
?,Punct
Grouch,NamedEnt
",Punct
grouch,Eng
",Punct
grouchypor,Eng
el,Spn
way,Eng
too,Eng
hot,Eng
and,Eng
dry,Eng
",Punct
no,Spn
air,Eng
conditioner,Eng
Castilian,NamedEnt
summer,Eng
",Punct
con,Spn
los,Spn
mosquito,Spn
bites,Eng
y,Spn
la,Spn
unfamiliar,Eng
food,Eng
.,Punct
Ya,Spn
para,Spn
entonces,Spn
te,Spn
habías,Spn
vuelto,Spn
bien,Spn
picky,Eng
.,Punct
Yeah,NamedEnt
",Punct
con,Spn
tus,Spn
little,Eng
saltwater,Eng
sandals,Eng
and,Eng
your,Eng
baby,Eng
Converse,Spn
high-tops,Eng
in,Eng
citrus,Spn
colors,Eng
about,Eng
which,Eng
seguramente,Spn
en,Spn
esta,Spn
tu,Spn
actual,Eng
teen-encarnación,Spn
you’d,Spn
say,Eng
",Punct
“,Punct
that’s,Eng
soooo,Eng
‘,Punct
gay,Spn
",Punct
’,Punct
mom,Eng
.,Punct
.,Punct
.,Punct
”,Punct
Oh,Eng
",Punct
I,Eng
know,Eng
it’s,Eng
“,Punct
only,Eng
”,Punct
semantics,Spn
(,Punct
my,Eng
culti,Spn
studies,Eng
",Punct
childless,Eng
friends,Eng
me,Spn
dicen,Spn
),Punct
",Punct
pero,Spn
¿cómo,Spn
llegamos,Spn
a,Spn
esto,Spn
",Punct
Joey,NamedEnt
?,Punct
¿Cómo,Spn
llegamos,Spn
a,Spn
este,Spn
lugar,Spn
",Punct
en,Spn
el,Spn
que,Spn
tu,Spn
máximo,Spn
insulto,Spn
",Punct
glibly,Eng
and,Eng
frequently,Eng
(,Punct
and,Eng
unconsciously,Eng
?,Punct
),Punct
tossed—all-purpose—is,Eng
an,Eng
epithet,Spn
hurled,Spn
",Punct
like,Eng
a,Spn
hate-fueled,Eng
meteor,Spn
",Punct
de,Spn
otro,Spn
planeta,Spn
?,Punct
Marciano,NamedEnt
homofóbico,Spn
.,Punct
My,Eng
Favorite,Eng
Martian,NamedEnt
.,Punct
Are,Eng
you,Eng
(,Punct
still,Eng
),Punct
mine,Eng
?,Punct
¿Qué,Spn
hay,Spn
en,Spn
ti,Spn
de,Spn
mí,Spn
?,Punct
Hello,Eng
in,Eng
there,Eng
.,Punct
Anybody,NamedEnt
home,Eng
?,Punct
Pero,Spn
heme,Spn
aquí,Spn
",Punct
shit,Eng
",Punct
just,Eng
listen,Eng
to,Eng
me,Spn
",Punct
rumiando,Spn
about,Eng
subject,Eng
positions,Eng
",Punct
about,Eng
la,Spn
adolescencia,Spn
posmoderna,Spn
y,Spn
el,Spn
significado,Spn
de,Spn
la,Spn
maternidad,Spn
",Punct
tu,Spn
naciente,Spn
léxico,Spn
homofóbico,Spn
and,Eng
how,Eng
much,Eng
I,Eng
pray,Eng
que,Spn
es,Spn
sólo,Spn
de,Spn
la,Spn
boca,Spn
pa,Spn
’,Punct
fuera,Spn
",Punct
peer,Eng
pressure,Eng
",Punct
and,Eng
contemplating,Eng
my,Eng
oh-so-progressive,Eng
vida,Spn
and,Eng
learnings,Eng
and,Eng
teachings,Eng
cuando,Spn
lo,Spn
que,Spn
realmente,Spn
necesito,Spn
decir,Spn
es,Spn
how,Eng
triturada,Spn
I,Eng
feel,Eng
.,Punct
The,Eng
San,NamedEnt
Gabriel,NamedEnt
mountains,Eng
look,Eng
so,Eng
close,Eng
.,Punct
Smoky,NamedEnt
mauve,Spn
hillsides,Eng
in,Eng
this,Eng
inappropriately,Eng
gloomy,Spn
",Punct
eerie,Eng
mid-day,Eng
mist,Eng
.,Punct
Must,Eng
be,Eng
heather,Eng
",Punct
young,Eng
grass,Eng
pushing,Eng
up,Eng
en,Spn
esas,Spn
laderas,Spn
(,Punct
oh,Eng
",Punct
amo,Spn
esta,Spn
palabra—ladera—learned,Spn
in,Eng
Alazraki’s,NamedEnt
Latin,NamedEnt
American,Eng
poetry,Spn
class,Eng
",Punct
te,Spn
acuerdas,Spn
",Punct
Frances,NamedEnt
?,Punct
Te,Spn
acuerdas,Spn
",Punct
Carmen,NamedEnt
Ivette,NamedEnt
?,Punct
Me,Spn
pareció,Spn
una,Spn
palabra,Spn
tan,Spn
romántica,Spn
",Punct
misteriosa,Spn
.,Punct
.,Punct
.,Punct
nothing,Eng
likeslope,Eng
),Punct
after,Eng
the,Eng
forest,Eng
fires,Eng
reduced,Eng
it,Eng
to,Eng
black,Eng
ash,Eng
last,Eng
fall,Eng
.,Punct
So,Eng
far,Eng
away,Eng
